Laser/facility,Institution,Country,Wavelength,Pulse energy,Pulse duration [fs],Peak power,Rep. rate,Year demonstrated,Laser technology,Reference DOI/link,Notes,Description
Nova Petawatt,LLNL,USA,1053 nm,660 J,440 fs,1.5 PW,<1 Hz,1996,Nd:glass CPA,10.1364/OL.24.000160,First petawatt laser; paper reports 1.5 PW.,Nova Petawatt was an Nd:glass CPA laser created by converting one beamline of the Nova facility at Lawrence Livermore National Laboratory. It started operation in 1996 and served as the first major demonstration that existing high-energy fusion-laser infrastructure could be adapted for ultra-short-pulse experiments.
Vulcan Petawatt,STFC Rutherford Appleton Lab,UK,1053 nm,500 J,500 fs,1 PW,<1 Hz,2004,Nd:glass CPA,10.1088/0029-5515/44/12/S15,First PW-class user facility.,Vulcan Petawatt is an Nd:glass CPA beamline at the Central Laser Facility at Rutherford Appleton Laboratory in the UK. It began petawatt user-facility operation in 2004 and supports high-energy-density and laser-plasma experiments synchronized with long-pulse Vulcan beams.
OMEGA-EP,"LLE, Univ. Rochester",USA,1053 nm,2.6 kJ,10 ps,0.26 PW ,<1 Hz,2008,Nd:glass CPA/OPCPA front end,10.1051/jp4:2006133015,Paper reports 2.1 kJ at 10 ps and “almost 1 PW” at best compression.,"OMEGA-EP is a four-beam extension of the OMEGA laser at the Laboratory for Laser Energetics at the University of Rochester. It started operation in 2008 and provides short-pulse and long-pulse capabilities for radiography, proton generation, and inertial-confinement-fusion experiments."
NIF,LLNL,USA,351 nm,1.85 MJ,3.7 ns,0.5 PW,shot-based,2012,"Multi-beam Nd:glass, frequency tripled",10.1117/1.1814767,Multi-beam long-pulse petawatt-class facility.,"NIF is the National Ignition Facility at Lawrence Livermore National Laboratory, a large multi-beam Nd:glass laser designed for inertial confinement fusion and high-energy-density physics. It was dedicated in 2009 and operates as a megajoule-scale facility with many synchronized beamlines."
HAPLS,LLNL / ELI-Beamlines,Czech Republic,810 nm,16 J,28 fs,0.5 PW,3.3 Hz,2017,DPSSL-pumped Ti:sapphire CPA,https://doi.org/10.1117/12.2281050,High-average-power PW system.,HAPLS / L3 is a high-average-power Ti:sapphire laser developed by Lawrence Livermore National Laboratory for ELI-Beamlines in the Czech Republic. It was commissioned in 2018 and is designed for high-repetition-rate petawatt-class operation using diode-pumped solid-state pump lasers.
J-KAREN,QST/KPSI,Japan,800 nm,28.05 J,33 fs,0.85 PW,<1 Hz,2003,Ti:sapphire CPA,10.1364/OL.28.001594,World’s first PW-class Ti:sapphire facility.,J-KAREN is a Ti:sapphire laser at QST/KPSI in Japan developed for relativistic laser-plasma interaction studies. It began petawatt-class operation in 2003 and later evolved into the upgraded J-KAREN-P system with improved contrast and stability.
BELLA,LBNL,USA,815 nm,40 J,30 fs,1.3 PW,1 Hz,2013,Ti:sapphire CPA,Ref. 40 in paper,First 1 Hz petawatt laser.,BELLA is the Berkeley Lab Laser Accelerator facility at Lawrence Berkeley National Laboratory. It started operation in 2013 and was built specifically to drive laser-plasma acceleration experiments with stable high-repetition-rate operation.
ALEPH,Colorado State Univ.,USA,800 nm,26 J,30 fs,0.87 PW,3.3 Hz,2017,"Ti:sapphire CPA, flashlamp-pumped Nd:glass pump",10.1364/OL.42.003828,High rep-rate PW-class Ti:sapphire system.,"CSU Advanced Beam Laboratory is a Ti:sapphire high-intensity laser facility at Colorado State University. Its petawatt-class operation was reported in 2017, and the facility uses a high-repetition-rate pump-laser architecture to support frequent laser-plasma experiments."
Diocles,Univ. Nebraska-Lincoln,USA,800 nm,30 J,30 fs,1 PW,0.1 Hz,2012,Ti:sapphire CPA,https://doi.org/10.1117/12.2005008,Also operates 100 TW at 10 Hz.,Diocles is a Ti:sapphire laser facility at the Extreme Light Laboratory at the University of Nebraska-Lincoln. It came online in 2008 and was later upgraded in 2012 to support higher-power operation alongside separate high-repetition-rate beamlines.
Texas Petawatt,Univ. Texas at Austin,USA,1058 nm,186 J,167 fs,1.1 PW,<1 Hz,2010,OPCPA front end + mixed Nd:glass CPA,10.1364/AO.49.001676,Paper reports 1.1 PW.,Texas Petawatt is a high-energy short-pulse laser at the University of Texas at Austin. It began operation around 2010 and combines an OPCPA front end with mixed Nd:glass amplification to support high-intensity laser-plasma experiments.
Scarlet,Ohio State Univ.,USA,800 nm,15 J,40 fs,400 TW,1 shot/min,2012,Ti:sapphire dual CPA + XPW,https://doi.org/10.1364/AO.55.004713,15/40 gives 0.375 PW; paper reports 400 TW.,"Scarlet is a Ti:sapphire dual-CPA laser at Ohio State University. It became operational in 2012 and was built for relativistic plasma physics, ion acceleration, and high-energy-density experiments in a dedicated controlled laboratory environment."
ALLS,INRS,Canada,800 nm,13 J,17 fs,750 TW,2.5 Hz,2017,Ti:sapphire CPA,https://inrs.ca/en/research/research-facilities/find-a-research-facilitie/high-intensity-laser-matter-interactions-and-applications-laboratory/,"Paper reports 200 TW original, 500 TW upgraded.","ALLS is the Advanced Laser Light Source at INRS in Quebec, Canada. It began operation in the late 2000s and uses a commercial Ti:sapphire system for ultrafast high-intensity experiments, later receiving an upgrade to higher capability."
Gemini,STFC Rutherford Appleton Lab,UK,800 nm,15 J/beam,30 fs,500 TW/beam,3 shots/min,2010,Ti:sapphire CPA,CLF Gemini,Two synchronized 500 TW beams.,Gemini is a two-beam Ti:sapphire laser facility at the Central Laser Facility at Rutherford Appleton Laboratory. It began operation as a user facility in 2009 and provides synchronized short-pulse beams for laser-plasma acceleration and high-intensity interaction studies.
Orion PW beams,AWE Aldermaston,UK,1053 nm,500 J,500 fs,1 PW,shot-based,2013,Nd:glass CPA,10.1088/0741-3335/57/6/064002,Also has 400 TW green high-contrast mode.,Orion is a laser facility at AWE Aldermaston in the UK combining long-pulse Nd:glass beams with synchronized short-pulse beams. It became operational in 2013 and supports high-energy-density physics with both infrared and high-contrast frequency-doubled operating modes.
SCAPA,Univ. Strathclyde,UK,800 nm,8.75 J,25 fs,350 TW,1 Hz,2017,Ti:sapphire dual CPA + XPW,Facilities – Scottish Centre for the Application of Plasma-based Accelerators,Europe’s highest average-power commercial petawatt-scale laser at paper time.,"SCAPA is the Scottish Centre for the Application of Plasma-based Accelerators at the University of Strathclyde. Its commercial Ti:sapphire laser was commissioned in 2017 and supports multiple laser-plasma accelerator beamlines for electron, proton, ion, and radiation-source research."
PETAL,CEA LMJ/PETAL,France,1053 nm,850 J,700 fs,1.15 PW,<1 Hz,2015,Nd:glass CPA + OPCPA front end,10.1364/OE.25.016957,"Multi-kJ design, synchronized to LMJ.",PETAL is the short-pulse beamline coupled to the Laser Megajoule facility at CEA in France. It was initially commissioned in 2015 and provides synchronized high-energy short-pulse capability for academic and high-energy-density experiments alongside LMJ.
PHELIX,GSI Helmholtz Centre,Germany,1053 nm,200 J,400 fs,500 TW,<1 Hz,2010,Nd:glass CPA,https://doi.org/10.1017/hpl.2024.17,Switchable long/short pulse glass system.,"PHELIX is uniquely integrated with GSI's heavy-ion accelerator complex, enabling synchronized laser–ion pump–probe experiments for investigations of warm dense matter, plasma physics, and matter under extreme conditions. The facility supports laser-driven secondary source development—including protons, electrons, neutrons, and X-rays—and has played a significant role in advancing high-energy-density physics through combined laser and accelerator capabilities."
POLARIS,Helmholtz Institute Jena,Germany,1030 nm,54 J amplified,98 fs,200 TW,<1 Hz,2016,Diode-pumped Yb:glass/Yb:CaF2 CPA,10.1364/OL.41.005413,Compressor limits on-target power.,"POLARIS is distinguished as one of the world's first fully diode-pumped, high-power ultrafast laser systems, demonstrating the scalability and efficiency of diode-pumped petawatt-class technology. The facility primarily supports research in laser-driven particle acceleration, relativistic laser–plasma interactions, and the development of next-generation high-repetition-rate high-intensity laser architectures."
DRACO,HZDR Dresden,Germany,800 nm,3 J,30 fs,100 TW,10 Hz,2010,Ti:sapphire CPA,10.1088/1367-2630/12/4/045015,Also 150 TW at 10 Hz.,"DRACO (Dresden Laser Acceleration Source) is a user facility dedicated to relativistic laser–plasma interaction research, with particular emphasis on laser-wakefield electron acceleration, ion acceleration, and secondary radiation source generation. Its close integration with HZDR's ELBE accelerator infrastructure enables advanced beam diagnostics and studies that bridge conventional accelerator physics with plasma-based acceleration techniques."
JETI200,Helmholtz Institute Jena,Germany,800 nm,5.6 J,17 fs,200 TW,not stated,not stated,Ti:sapphire CPA,https://www.hi-jena.de/en/helmholtz-institute-jena/about-the-institute/experimental-facilities/local/jeti200-laser,Energy/duration gives 0.33 PW.,"JETI200 is optimized for ultrashort-pulse experiments requiring exceptional temporal contrast, achieved through a double chirped-pulse amplification architecture with cross-polarized wave generation. The system serves as a versatile platform for studies of relativistic laser–matter interactions, laser-driven electron and ion acceleration, and high-harmonic generation, while also supporting the development of advanced target and diagnostic technologies."
VEGA-3,CLPU Salamanca,Spain,800 nm,30 J,30 fs,1 PW,1 Hz,2018,Ti:sapphire CPA,10.1051/epjconf/201816701001,Three-line VEGA system; VEGA-3 is PW line.,"VEGA-3 is the flagship beamline of Spain's VEGA laser system and forms part of a synchronized multi-beam architecture that enables flexible pump–probe and multi-pulse experimental configurations. As an international user facility, it supports research in laser-driven particle acceleration, secondary radiation sources, warm dense matter, and high-intensity laser–plasma physics, while emphasizing high repetition rate operation and broad experimental accessibility."
